Keys (n),B-Trees (t = 10),B-Trees (t = 100),B-Trees (t = 1000),
0,0.300000,0.100000,0.300000
50000,9536.100000,8410.700000,26044.600000
100000,22389.800000,18206.200000,53229.300000
150000,38434.200000,28359.600000,78412.900000
200000,57641.200000,40618.200000,111046.700000
250000,78786.200000,52901.500000,146224.300000
300000,103187.200000,65470.800000,165872.600000
350000,132218.100000,79804.300000,198180.000000
400000,166755.700000,94861.000000,237974.300000
450000,206924.400000,108920.800000,275973.700000
500000,247066.000000,123649.600000,308818.500000
550000,292082.000000,138944.000000,328443.100000
600000,340951.600000,154935.100000,357002.700000
650000,392350.100000,171893.900000,391637.000000
700000,445949.800000,188406.700000,429201.200000
750000,499639.200000,206581.800000,468292.800000
800000,567108.900000,225954.900000,511787.700000
850000,616036.700000,242967.800000,551726.200000
900000,686945.100000,260285.100000,607507.100000
950000,770586.700000,279211.600000,638755.700000
1000000,806880.500000,298551.100000,672900.000000
